"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:53:11 GMT 2021","Thu Aug 19 13:53:16 GMT 2021","4897","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"passed","Thu Aug 19 13:53:22 GMT 2021","Thu Aug 19 13:54:52 GMT 2021","90676","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Thu Aug 19 13:53:05 GMT 2021","Thu Aug 19 13:53:11 GMT 2021","5691","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Thu Aug 19 13:55:10 GMT 2021","Thu Aug 19 13:55:15 GMT 2021","4955","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Thu Aug 19 13:52:55 GMT 2021","Thu Aug 19 13:53:00 GMT 2021","5268","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Thu Aug 19 13:52:38 GMT 2021","Thu Aug 19 13:52:55 GMT 2021","17156","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Thu Aug 19 13:54:57 GMT 2021","Thu Aug 19 13:55:05 GMT 2021","7802","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Thu Aug 19 13:55:05 GMT 2021","Thu Aug 19 13:55:10 GMT 2021","5262","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Thu Aug 19 13:53:00 GMT 2021","Thu Aug 19 13:53:05 GMT 2021","5073","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
"passed","Thu Aug 19 13:53:16 GMT 2021","Thu Aug 19 13:53:22 GMT 2021","5422","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Thu Aug 19 13:54:52 GMT 2021","Thu Aug 19 13:54:57 GMT 2021","4938","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
